"latitude","longitude","year","month","country","basisOfRecord","latitude_moved","longitude_moved","dist_moved","BelgiumCoast_seaway","BelgiumCoast_geodesic","Getxo_seaway","Getxo_geodesic","GulfofPiran_seaway","GulfofPiran_geodesic","Plymouth_seaway","Plymouth_geodesic","Roscoff_seaway","Roscoff_geodesic"
54.044806,-6.187612,2024,5,"Ireland","HUMAN_OBSERVATION",NA,NA,NA,1112,698,1226,1213,5348,1701,558,432,631,612
54.842464,-5.801034,2024,5,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",54.95,-5.84999999999999,12.37,1215,722,1330,1308,5461,1728,662,523,734,705
52.180944,-10.386342,2024,5,"Ireland","HUMAN_OBSERVATION",52.25,-10.35,8.08,1128,935,1143,1132,5114,1896,574,480,625,599
48.353519,-4.566508,2024,5,"France","HUMAN_OBSERVATION",NA,NA,NA,701,647,575,570,4783,1413,238,226,97,60
51.55,4,2024,5,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,80,63,1347,1054,5542,973,646,588,682,650
51.34024,3.17482,2024,5,"Belgium","HUMAN_OBSERVATION",NA,NA,NA,0,2,1269,1004,5464,1004,569,527,605,589
51.21466,2.86871,2024,5,"Belgium","HUMAN_OBSERVATION",NA,NA,NA,25,25,1245,982,5439,1013,544,504,580,563
50.578272,-2.474485,2024,6,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",50.55,-2.54999999999999,6.2,440,410,875,802,5070,1322,137,116,226,228
51.209552,-4.112566,2024,6,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,828,507,939,879,5083,1450,274,94,347,277
53.921947,-2.997031,2024,6,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1167,505,1282,1177,5418,1510,614,403,686,583
51.128523,-4.239693,2024,6,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",51.05,-4.24999999999999,8.77,809,518,920,862,5064,1453,255,76,328,260
51.209552,-4.112566,2024,6,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,828,507,939,879,5083,1450,274,94,347,277
51.128523,-4.239693,2024,6,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",51.05,-4.24999999999999,8.77,809,518,920,862,5064,1453,255,76,328,260
52.173067,-6.58654,2024,7,"Ireland","HUMAN_OBSERVATION",NA,NA,NA,908,678,1020,1018,5128,1646,354,263,427,427
54.720008,-5.791259,2024,7,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",54.65,-5.84999999999999,8.66,1180,706,1295,1275,5426,1712,626,490,699,673
54.709655,-5.822556,2024,7,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",54.65,-5.84999999999999,6.87,1180,706,1295,1275,5426,1712,626,490,699,673
54.568162,-5.654178,2024,7,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1163,691,1278,1263,5409,1696,609,478,682,661
47.787151,-3.800226,2024,7,"France","HUMAN_OBSERVATION",NA,NA,NA,795,640,499,498,4764,1350,332,288,191,104
51.192017,-3.23748,2024,7,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",51.25,-3.24999999999999,6.51,891,446,1002,880,5146,1395,337,117,410,286
51.192017,-3.23748,2024,7,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",51.25,-3.24999999999999,6.51,891,446,1002,880,5146,1395,337,117,410,286
51.18936,2.81559,2024,7,"Belgium","HUMAN_OBSERVATION",51.25,2.85000000000001,7.16,25,24,1245,984,5439,1016,544,503,580,564
51.24372,2.93749,2024,7,"Belgium","HUMAN_OBSERVATION",51.25,2.85000000000001,6.14,25,24,1245,984,5439,1016,544,503,580,564
51.19767,2.83065,2024,7,"Belgium","HUMAN_OBSERVATION",51.25,2.85000000000001,5.98,25,24,1245,984,5439,1016,544,503,580,564
58.2992,11.37156,2024,7,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,949,935,2173,1940,6368,1430,1472,1336,1508,1467
51.564317,-9.729189,2024,8,"Ireland","HUMAN_OBSERVATION",NA,NA,NA,1026,894,1046,1044,5028,1837,472,413,521,519
54.644287,-5.530751,2024,8,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",54.65,-5.44999999999999,5.24,1173,684,1288,1270,5419,1689,620,485,692,668
54.074438,-6.180925,2024,8,"Ireland","HUMAN_OBSERVATION",NA,NA,NA,1112,699,1226,1216,5348,1702,558,435,631,616
50.070713,1.386031,2024,8,"France","HUMAN_OBSERVATION",50.15,1.35000000000001,9.19,211,184,1100,827,5295,1048,401,393,435,417
51.328779,-3.035956,2024,8,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,909,431,1020,888,5164,1384,355,133,427,298
54.521154,-5.663745,2024,8,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1163,689,1278,1258,5409,1694,609,473,682,656
