"latitude","longitude","year","month","country","basisOfRecord","latitude_moved","longitude_moved","dist_moved","BelgiumCoast_seaway","BelgiumCoast_geodesic","Bodo_seaway","Bodo_geodesic","Crete_seaway","Crete_geodesic","Gdynia_seaway","Gdynia_geodesic","Getxo_seaway","Getxo_geodesic","GulfofPiran_seaway","GulfofPiran_geodesic","Koster_seaway","Koster_geodesic","Limfjord_seaway","Limfjord_geodesic","RavennaH_seaway","RavennaH_geodesic","RavennaM_seaway","RavennaM_geodesic","Roscoff_seaway","Roscoff_geodesic","SWC_seaway","SWC_geodesic","TZS_seaway","TZS_geodesic","Toralla_seaway","Toralla_geodesic"
54.608392,18.79675,2025,3,"Poland","HUMAN_OBSERVATION",NA,NA,NA,1564,1109,2179,1426,6751,2196,23,20,2787,2016,6982,1077,800,668,819,662,6949,1221,6949,1221,2123,1696,661,556,642,641,3002,2437
60.196821,25.18168,2025,3,"Finland","HUMAN_OBSERVATION",NA,NA,NA,2116,1684,2731,940,7302,2763,756,750,3339,2665,7534,1805,1352,808,1371,1005,7501,1950,7501,1950,2675,2252,1213,822,120,115,3554,3044
60.146198,24.975686,2025,3,"Finland","HUMAN_OBSERVATION",60.15,25.05,4.14,2110,1676,2725,941,7297,2758,753,742,3334,2656,7529,1797,1347,801,1365,997,7496,1942,7496,1942,2669,2244,1207,814,114,106,3549,3035
59.96573,24.393932,2025,3,"Finland","HUMAN_OBSERVATION",NA,NA,NA,2062,1634,2677,943,7249,2738,711,705,3285,2614,7480,1761,1298,763,1317,956,7447,1906,7447,1906,2621,2202,1159,773,66,66,3500,2993
60.179733,24.986697,2025,3,"Finland","HUMAN_OBSERVATION",60.15,25.05,4.82,2110,1676,2725,941,7297,2758,753,742,3334,2656,7529,1797,1347,801,1365,997,7496,1942,7496,1942,2669,2244,1207,814,114,106,3549,3035
60.1524,24.765368,2025,3,"Finland","HUMAN_OBSERVATION",60.05,24.75,11.43,2089,1656,2704,943,7276,2747,734,724,3312,2636,7507,1779,1325,783,1344,978,7474,1924,7474,1924,2648,2224,1186,795,93,87,3527,3015
51.27286,4.32457,2025,3,"Belgium","HUMAN_OBSERVATION",51.35,4.25000000000001,10.03,104,77,1962,1862,5334,2439,1563,1026,1371,1045,5566,945,969,944,746,693,5533,976,5533,976,706,657,943,854,1992,1517,1586,1416
55.63666,13.03646,2025,3,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,1144,810,1759,1297,6331,2437,440,382,2368,1787,6563,1126,379,379,399,284,6530,1245,6530,1245,1703,1389,240,241,870,766,2583,2169
55.62072,12.98395,2025,3,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,1140,806,1755,1299,6327,2437,442,385,2364,1783,6559,1124,375,380,395,282,6526,1243,6526,1243,1699,1385,236,242,872,770,2579,2165
60.239411,21.963284,2025,4,"Finland","HUMAN_OBSERVATION",NA,NA,NA,1978,1531,2593,860,7165,2778,677,675,3202,2520,7397,1730,1215,632,1233,836,7364,1871,7364,1871,2537,2091,1075,653,91,84,3417,2888
54.804138,18.393803,2025,4,"Poland","HUMAN_OBSERVATION",NA,NA,NA,1530,1089,2145,1401,6717,2224,49,43,2753,2004,6948,1088,766,635,785,629,6915,1230,6915,1230,2089,1676,627,522,632,632,2968,2422
54.799713,18.411711,2025,4,"Poland","HUMAN_OBSERVATION",NA,NA,NA,1540,1090,2155,1401,6727,2224,36,42,2764,2005,6959,1088,777,636,795,630,6926,1230,6926,1230,2099,1677,637,524,639,632,2979,2423
54.809995,18.378322,2025,4,"Poland","HUMAN_OBSERVATION",NA,NA,NA,1530,1088,2145,1400,6717,2225,49,44,2753,2003,6948,1088,766,633,785,628,6915,1231,6915,1231,2089,1676,627,521,632,632,2968,2421
54.809995,18.378322,2025,4,"Poland","HUMAN_OBSERVATION",NA,NA,NA,1530,1088,2145,1400,6717,2225,49,44,2753,2003,6948,1088,766,633,785,628,6915,1231,6915,1231,2089,1676,627,521,632,632,2968,2421
60.096263,20.012208,2025,4,"Åland Islands","HUMAN_OBSERVATION",60.15,20.05,6.34,1904,1437,2519,835,7090,2782,645,640,3127,2431,7322,1684,1140,526,1159,734,7289,1821,7289,1821,2463,1992,1001,552,192,182,3342,2792
63.44838,19.6291,2025,4,"Sweden","HUMAN_OBSERVATION",63.45,19.55,3.94,2254,1659,2869,481,7441,3149,1009,1004,3477,2664,7672,2031,1490,682,1509,931,7639,2164,7639,2164,2813,2173,1351,772,472,447,3692,2986
63.68192,20.89083,2025,4,"Sweden","HUMAN_OBSERVATION",63.65,20.95,4.6,2285,1724,2900,496,7472,3161,1040,1033,3508,2728,7703,2071,1522,748,1540,996,7670,2205,7670,2205,2844,2242,1382,833,481,441,3723,3054
55.55988,12.90348,2025,4,"Sweden","HUMAN_OBSERVATION",55.55,12.85,3.54,1147,795,1762,1307,6334,2434,430,391,2370,1771,6565,1117,383,385,402,279,6532,1235,6532,1235,1706,1374,244,247,859,781,2585,2153
