"latitude","longitude","year","month","country","basisOfRecord","latitude_moved","longitude_moved","dist_moved","Galway_seaway","Galway_geodesic","Toralla_seaway","Toralla_geodesic"
43.210963,5.456449,2025,5,"France","HUMAN_OBSERVATION",43.15,5.45000000000001,6.81,3461,1587,2235,1169
43.322929,-2.409485,2025,5,"Spain","HUMAN_OBSERVATION",NA,NA,NA,1280,1229,699,535
43.274382,3.514857,2025,5,"France","HUMAN_OBSERVATION",NA,NA,NA,3389,1479,2164,1012
42.382117,3.158184,2025,5,"Spain","HUMAN_OBSERVATION",42.35,3.25000000000001,8.36,3287,1550,2062,991
42.23955,3.206413,2025,5,"Spain","HUMAN_OBSERVATION",42.25,3.15000000000001,4.79,3275,1554,2050,984
50.146373,-5.05935,2024,1,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,625,474,961,925
50.147326,-5.057829,2024,1,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,625,474,961,926
50.142347,-5.068448,2024,2,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,625,473,961,925
50.142369,-5.068442,2024,2,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,625,473,961,925
50.142202,-5.068524,2024,2,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,625,473,961,925
50.141999,-5.069063,2024,2,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,625,473,961,925
50.147679,-5.056418,2024,2,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,625,474,961,926
50.147731,-5.057821,2024,2,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,625,473,961,926
43.199653,5.230654,2024,2,"France","HUMAN_OBSERVATION",NA,NA,NA,3449,1571,2223,1151
42.904396,-9.260117,2024,2,"Spain","HUMAN_OBSERVATION",42.85,-9.24999999999999,6.11,1176,1157,79,79
48.648142,-2.033147,2024,2,"France","HUMAN_OBSERVATION",NA,NA,NA,876,745,1039,887
43.188623,5.385471,2024,2,"France","HUMAN_OBSERVATION",NA,NA,NA,3455,1580,2229,1164
43.386531,-3.003926,2024,2,"Spain","HUMAN_OBSERVATION",NA,NA,NA,1258,1204,651,489
43.386426,-3.004124,2024,2,"Spain","HUMAN_OBSERVATION",NA,NA,NA,1258,1204,651,489
