"latitude","longitude","year","month","country","basisOfRecord","latitude_moved","longitude_moved","dist_moved","BelgiumCoast_seaway","BelgiumCoast_geodesic","Koster_seaway","Koster_geodesic","Limfjord_seaway","Limfjord_geodesic","Roscoff_seaway","Roscoff_geodesic","Toralla_seaway","Toralla_geodesic"
53.217801,-4.508403,2025,1,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1025,562,1650,1155,1543,957,544,502,1294,1263
53.681301,6.983904,2025,1,"Germany","HUMAN_OBSERVATION",NA,NA,NA,381,367,652,632,429,382,955,942,1834,1727
54.878815,8.289182,2025,1,"Germany","HUMAN_OBSERVATION",NA,NA,NA,523,522,511,477,287,230,1096,1086,1976,1878
55.440674,8.341056,2025,1,"Denmark","HUMAN_OBSERVATION",NA,NA,NA,577,571,446,417,222,169,1147,1125,2026,1923
54.754444,8.279578,2025,1,"Germany","HUMAN_OBSERVATION",NA,NA,NA,517,511,522,490,298,244,1090,1078,1970,1869
53.577778,6.665733,2025,1,"Germany","HUMAN_OBSERVATION",NA,NA,NA,358,344,666,651,443,400,931,918,1811,1703
57.686869,-4.165837,2025,2,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",57.55,-4.14999999999999,15.27,925,836,960,907,839,800,1403,983,2163,1735
51.075536,2.500133,2025,2,"France","HUMAN_OBSERVATION",51.15,2.55000000000001,8.99,50,47,1021,1018,798,768,555,540,1435,1314
48.650013,-2.453411,2025,2,"France","HUMAN_OBSERVATION",48.65,-2.54999999999999,7.1,545,507,1481,1445,1261,1204,121,105,1002,864
52.210911,4.400519,2025,2,"Netherlands","HUMAN_OBSERVATION",52.25,4.35000000000001,5.55,132,130,858,851,635,600,721,708,1601,1489
54.633872,-5.856305,2025,2,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1180,706,1489,1136,1381,967,699,671,1445,1396
50.628772,-1.945671,2025,2,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",50.55,-1.94999999999999,8.77,390,369,1325,1247,1105,1011,248,250,1119,1063
47.119819,-2.168358,2025,2,"France","HUMAN_OBSERVATION",47.15,-2.24999999999999,7.04,937,610,1873,1577,1653,1330,334,216,828,752
40.486609,-8.792704,2025,2,"Portugal","HUMAN_OBSERVATION",40.45,-8.84999999999999,6.34,1677,1524,2612,2484,2392,2240,1073,997,206,198
40.48289,-8.793933,2025,2,"Portugal","HUMAN_OBSERVATION",40.45,-8.84999999999999,6,1677,1524,2612,2484,2392,2240,1073,997,206,198
48.351301,-4.567936,2025,2,"France","HUMAN_OBSERVATION",NA,NA,NA,701,647,1636,1557,1416,1321,97,60,803,756
52.236764,4.426611,2025,2,"Netherlands","HUMAN_OBSERVATION",52.25,4.35000000000001,5.43,132,130,858,851,635,600,721,708,1601,1489
51.759041,3.864554,2025,2,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,66,67,923,915,699,664,668,653,1548,1427
49.869332,0.721219,2025,2,"France","HUMAN_OBSERVATION",49.95,0.75000000000001,9.21,247,230,1202,1197,981,949,385,369,1265,1129
50.540438,-3.504202,2025,2,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",50.55,-3.44999999999999,3.98,504,472,1439,1313,1219,1084,206,207,1057,1011
56.65982,9.149228,2025,2,"Denmark","HUMAN_OBSERVATION",56.65,9.25000000000001,6.26,776,712,279,271,36,30,1337,1252,2217,2056
52.160026,4.343957,2025,2,"Netherlands","HUMAN_OBSERVATION",52.25,4.35000000000001,10.02,132,130,858,851,635,600,721,708,1601,1489
