"latitude","longitude","year","month","country","basisOfRecord","latitude_moved","longitude_moved","dist_moved","GulfofPiran_seaway","GulfofPiran_geodesic"
39.848,4.306,2015,7,"Spain","MACHINE_OBSERVATION",NA,NA,NA,2165,985
39.117,1.5141,2015,9,"Spain","MACHINE_OBSERVATION",NA,NA,NA,2387,1220
39.45,3.27,2015,10,"Spain","MACHINE_OBSERVATION",39.45,3.35000000000001,6.88,2239,1076
39.5313,2.3672,2015,10,"Spain","MACHINE_OBSERVATION",NA,NA,NA,2330,1134
39.45,3.27,2015,10,"Spain","MACHINE_OBSERVATION",39.45,3.35000000000001,6.88,2239,1076
39.473,2.5227,2015,12,"Spain","MACHINE_OBSERVATION",NA,NA,NA,2309,1128
39.4447,3.3166,2015,12,"Spain","MACHINE_OBSERVATION",NA,NA,NA,2239,1078
37.6389,15.1821,2014,7,"Italy","MACHINE_OBSERVATION",37.65,15.25,6.11,1155,885
37.9332,12.3207,2013,8,"Italy","MACHINE_OBSERVATION",NA,NA,NA,1436,849
39.1002,1.5521,2012,5,"Spain","MACHINE_OBSERVATION",NA,NA,NA,2387,1218
36.722027,-3.727867,2025,1,"Spain","HUMAN_OBSERVATION",36.65,-3.74999999999999,8.26,2890,1751
36.794579,-2.584293,2025,1,"Spain","HUMAN_OBSERVATION",NA,NA,NA,2786,1661
36.698795,-2.857853,2025,1,"Spain","HUMAN_OBSERVATION",NA,NA,NA,2810,1687
36.753805,-2.605122,2025,2,"Spain","HUMAN_OBSERVATION",36.75,-2.54999999999999,4.93,2786,1662
36.753808,-2.605127,2025,2,"Spain","HUMAN_OBSERVATION",36.75,-2.54999999999999,4.94,2786,1662
36.811693,-2.430555,2025,2,"Spain","HUMAN_OBSERVATION",36.75,-2.44999999999999,7.08,2777,1655
36.818905,-2.412873,2025,2,"Spain","HUMAN_OBSERVATION",36.75,-2.44999999999999,8.35,2777,1655
36.830912,-2.488208,2025,2,"Spain","HUMAN_OBSERVATION",36.75,-2.44999999999999,9.63,2777,1655
37.908672,23.711447,2025,2,"Greece","HUMAN_OBSERVATION",37.85,23.75,7.36,1294,1200
36.695249,-2.848448,2025,2,"Spain","HUMAN_OBSERVATION",NA,NA,NA,2810,1686
39.922038,3.055083,2025,2,"Spain","HUMAN_OBSERVATION",NA,NA,NA,2280,1061
43.54892,7.116479,2025,2,"France","HUMAN_OBSERVATION",NA,NA,NA,2086,557
36.698772,-2.857271,2025,3,"Spain","HUMAN_OBSERVATION",NA,NA,NA,2810,1687
38.679654,-28.217018,2025,4,"Portugal","HUMAN_OBSERVATION",NA,NA,NA,5151,3497
42.047301,3.222545,2025,4,"Spain","HUMAN_OBSERVATION",NA,NA,NA,2307,917
42.06161,11.815718,2025,4,"Italy","HUMAN_OBSERVATION",42.05,11.75,5.58,1682,412
36.74495,-3.649959,2024,1,"Spain","HUMAN_OBSERVATION",36.65,-3.64999999999999,10.57,2881,1744
36.083283,-5.764485,2024,3,"Spain","HUMAN_OBSERVATION",NA,NA,NA,3095,1931
36.083303,-5.7644,2024,3,"Spain","HUMAN_OBSERVATION",NA,NA,NA,3095,1931
40.797647,13.43446,2024,4,"Italy","HUMAN_OBSERVATION",NA,NA,NA,1484,525
35.517615,24.033473,2024,4,"Greece","HUMAN_OBSERVATION",NA,NA,NA,1459,1419
39.587716,2.328631,2024,4,"Spain","HUMAN_OBSERVATION",NA,NA,NA,2330,1132
39.587725,2.328581,2024,4,"Spain","HUMAN_OBSERVATION",NA,NA,NA,2330,1132
36.47676,-6.261161,2024,5,"Spain","HUMAN_OBSERVATION",NA,NA,NA,3161,1939
37.012348,-8.930037,2024,5,"Portugal","HUMAN_OBSERVATION",36.95,-8.94999999999999,7.16,3409,2104
37.540733,-1.154083,2024,5,"Spain","HUMAN_OBSERVATION",37.55,-1.24999999999999,8.53,2644,1517
38.688007,-9.360915,2024,5,"Portugal","HUMAN_OBSERVATION",NA,NA,NA,3589,2034
41.286916,2.105976,2024,5,"Spain","HUMAN_OBSERVATION",NA,NA,NA,2378,1039
36.727669,-3.747802,2024,6,"Spain","HUMAN_OBSERVATION",36.65,-3.74999999999999,8.65,2890,1751
36.727669,-3.747802,2024,6,"Spain","HUMAN_OBSERVATION",36.65,-3.74999999999999,8.65,2890,1751
36.727669,-3.747802,2024,6,"Spain","HUMAN_OBSERVATION",36.65,-3.74999999999999,8.65,2890,1751
36.727669,-3.747802,2024,6,"Spain","HUMAN_OBSERVATION",36.65,-3.74999999999999,8.65,2890,1751
36.727669,-3.747802,2024,6,"Spain","HUMAN_OBSERVATION",36.65,-3.74999999999999,8.65,2890,1751
36.718931,-3.726473,2024,6,"Spain","HUMAN_OBSERVATION",36.65,-3.74999999999999,7.96,2890,1751
36.718931,-3.726473,2024,6,"Spain","HUMAN_OBSERVATION",36.65,-3.74999999999999,7.96,2890,1751
36.718931,-3.726473,2024,6,"Spain","HUMAN_OBSERVATION",36.65,-3.74999999999999,7.96,2890,1751
36.718931,-3.726473,2024,6,"Spain","HUMAN_OBSERVATION",36.65,-3.74999999999999,7.96,2890,1751
36.718931,-3.726473,2024,6,"Spain","HUMAN_OBSERVATION",36.65,-3.74999999999999,7.96,2890,1751
36.718931,-3.726473,2024,6,"Spain","HUMAN_OBSERVATION",36.65,-3.74999999999999,7.96,2890,1751
