"latitude","longitude","year","month","country","basisOfRecord","latitude_moved","longitude_moved","dist_moved","BelgiumCoast_seaway","BelgiumCoast_geodesic","Crete_seaway","Crete_geodesic","Getxo_seaway","Getxo_geodesic","Koster_seaway","Koster_geodesic","Limfjord_seaway","Limfjord_geodesic","Plymouth_seaway","Plymouth_geodesic","RavennaH_seaway","RavennaH_geodesic","RavennaM_seaway","RavennaM_geodesic","Roscoff_seaway","Roscoff_geodesic"
51.888507,-10.367309,2024,9,"Ireland","HUMAN_OBSERVATION",51.95,-10.35,6.95,1091,935,4847,3356,1106,1103,1860,1552,1752,1369,538,468,5046,1872,5046,1872,588,579
42.809938,3.020283,2024,11,"France","HUMAN_OBSERVATION",NA,NA,NA,3579,949,2156,2078,2746,495,4515,1872,4295,1625,3106,1003,2314,774,2314,774,2976,852
53.157585,-9.076121,2024,11,"Ireland","HUMAN_OBSERVATION",53.15,-9.14999999999999,5,1268,862,5024,3327,1283,1181,1778,1407,1670,1232,714,463,5223,1841,5223,1841,765,613
50.147998,-5.056502,2024,11,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,626,594,4710,2937,781,773,1561,1421,1342,1196,72,69,4909,1456,4909,1456,176,178
50.147066,-5.058906,2024,11,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,626,594,4710,2938,781,773,1561,1421,1342,1197,72,69,4909,1456,4909,1456,176,178
51.934542,1.2848,2024,12,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,155,145,5197,2642,1234,1008,1014,990,796,748,534,419,5396,1168,5396,1168,569,517
54.675913,-5.615467,2024,12,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",54.75,-5.64999999999999,8.54,1191,700,5204,3199,1305,1283,1472,1118,1364,950,637,498,5403,1724,5403,1724,709,681
54.675913,-5.615467,2024,12,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",54.75,-5.64999999999999,8.54,1191,700,5204,3199,1305,1283,1472,1118,1364,950,637,498,5403,1724,5403,1724,709,681
48.63543,-2.09579,2023,1,"France","HUMAN_OBSERVATION",NA,NA,NA,538,482,4787,2674,824,593,1473,1429,1254,1185,245,244,4986,1199,4986,1199,158,138
44.68667,-1.23419,2023,1,"France","HUMAN_OBSERVATION",44.75,-1.24999999999999,7.16,1173,803,4557,2467,215,211,2108,1781,1889,1531,710,662,4756,1079,4756,1079,569,487
44.71395,-1.21064,2023,1,"France","HUMAN_OBSERVATION",NA,NA,NA,1173,806,4557,2463,215,210,2108,1784,1889,1533,710,666,4756,1076,4756,1076,569,492
43.512006,4.113171,2023,2,"France","HUMAN_OBSERVATION",43.55,4.05000000000001,6.62,3663,870,2097,2023,2830,572,4599,1772,4379,1526,3190,981,2255,673,2255,673,3060,844
46.05232,-1.38355,2023,2,"France","HUMAN_OBSERVATION",NA,NA,NA,1060,677,4589,2520,331,328,1996,1654,1776,1405,597,522,4788,1091,4788,1091,457,355
45.97874,-1.40158,2023,2,"France","HUMAN_OBSERVATION",NA,NA,NA,1063,685,4578,2519,318,320,1998,1662,1779,1413,600,529,4777,1092,4777,1092,459,361
43.424684,3.699912,2023,3,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,9.24,3635,890,2123,2046,2802,540,4571,1802,4351,1555,3162,980,2280,709,2280,709,3032,838
43.441871,3.695011,2023,3,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,10.86,3635,890,2123,2046,2802,540,4571,1802,4351,1555,3162,980,2280,709,2280,709,3032,838
43.441871,3.695011,2023,3,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,10.86,3635,890,2123,2046,2802,540,4571,1802,4351,1555,3162,980,2280,709,2280,709,3032,838
43.425,3.69986,2023,3,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,9.27,3635,890,2123,2046,2802,540,4571,1802,4351,1555,3162,980,2280,709,2280,709,3032,838
44.71395,-1.21064,2023,4,"France","HUMAN_OBSERVATION",NA,NA,NA,1173,806,4557,2463,215,210,2108,1784,1889,1533,710,666,4756,1076,4756,1076,569,492
43.52746,4.13913,2023,4,"France","HUMAN_OBSERVATION",43.55,4.05000000000001,7.62,3663,870,2097,2023,2830,572,4599,1772,4379,1526,3190,981,2255,673,2255,673,3060,844
43.425,3.69986,2023,4,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,9.27,3635,890,2123,2046,2802,540,4571,1802,4351,1555,3162,980,2280,709,2280,709,3032,838
51.04325,2.36981,2023,4,"France","HUMAN_OBSERVATION",51.05,2.25000000000001,8.42,74,71,5158,2531,1195,945,1041,1038,819,789,495,459,5357,1053,5357,1053,531,516
43.4468,3.66253,2023,4,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,10.82,3635,890,2123,2046,2802,540,4571,1802,4351,1555,3162,980,2280,709,2280,709,3032,838
44.65511,-1.23743,2023,4,"France","HUMAN_OBSERVATION",44.65,-1.34999999999999,8.93,1179,817,4546,2472,201,198,2115,1794,1895,1544,716,670,4745,1088,4745,1088,576,494
69.637108,18.008203,2023,4,"Norway","HUMAN_OBSERVATION",NA,NA,NA,2257,2181,7329,3841,3430,3163,1844,1244,1736,1485,2737,2445,7528,2823,7528,2823,2772,2613
43.430447,4.935159,2023,5,"France","HUMAN_OBSERVATION",43.35,4.95000000000001,9.04,3680,900,2017,1947,2847,646,4616,1778,4396,1535,3207,1043,2175,607,2175,607,3077,911
44.71395,-1.21064,2023,5,"France","HUMAN_OBSERVATION",NA,NA,NA,1173,806,4557,2463,215,210,2108,1784,1889,1533,710,666,4756,1076,4756,1076,569,492
43.42472,3.7,2023,5,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,9.25,3635,890,2123,2046,2802,540,4571,1802,4351,1555,3162,980,2280,709,2280,709,3032,838
51.33748,4.20502,2023,5,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,104,74,5334,2440,1371,1042,969,946,746,695,670,598,5533,977,5533,977,706,654
44.71395,-1.21064,2023,5,"France","HUMAN_OBSERVATION",NA,NA,NA,1173,806,4557,2463,215,210,2108,1784,1889,1533,710,666,4756,1076,4756,1076,569,492
48.83609,-3.47593,2023,5,"France","HUMAN_OBSERVATION",NA,NA,NA,567,550,4670,2776,706,612,1503,1466,1283,1228,175,177,4868,1303,4868,1303,40,38
43.42472,3.7,2023,5,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,9.25,3635,890,2123,2046,2802,540,4571,1802,4351,1555,3162,980,2280,709,2280,709,3032,838
51.33748,4.20502,2023,5,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,104,74,5334,2440,1371,1042,969,946,746,695,670,598,5533,977,5533,977,706,654
51.33748,4.20502,2023,5,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,104,74,5334,2440,1371,1042,969,946,746,695,670,598,5533,977,5533,977,706,654
47.66271,-3.20879,2023,5,"France","HUMAN_OBSERVATION",NA,NA,NA,843,616,4557,2711,480,481,1779,1564,1559,1322,381,309,4756,1253,4756,1253,240,130
44.71395,-1.21064,2023,5,"France","HUMAN_OBSERVATION",NA,NA,NA,1173,806,4557,2463,215,210,2108,1784,1889,1533,710,666,4756,1076,4756,1076,569,492
44.65511,-1.23743,2023,5,"France","HUMAN_OBSERVATION",44.65,-1.34999999999999,8.93,1179,817,4546,2472,201,198,2115,1794,1895,1544,716,670,4745,1088,4745,1088,576,494
44.71395,-1.21064,2023,6,"France","HUMAN_OBSERVATION",NA,NA,NA,1173,806,4557,2463,215,210,2108,1784,1889,1533,710,666,4756,1076,4756,1076,569,492
47.56611,-2.91667,2023,6,"France","HUMAN_OBSERVATION",NA,NA,NA,869,608,4566,2687,468,470,1805,1562,1585,1318,407,324,4765,1230,4765,1230,266,150
44.62848,-1.24306,2023,6,"France","HUMAN_OBSERVATION",44.65,-1.34999999999999,8.8,1179,817,4546,2472,201,198,2115,1794,1895,1544,716,670,4745,1088,4745,1088,576,494
44.71395,-1.21064,2023,6,"France","HUMAN_OBSERVATION",NA,NA,NA,1173,806,4557,2463,215,210,2108,1784,1889,1533,710,666,4756,1076,4756,1076,569,492
58.345442,11.587719,2023,6,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,965,947,6152,2746,2189,1951,85,65,221,221,1489,1349,6351,1547,6351,1547,1524,1480
43.556319,3.971971,2023,6,"France","HUMAN_OBSERVATION",43.55,4.05000000000001,6.33,3663,870,2097,2023,2830,572,4599,1772,4379,1526,3190,981,2255,673,2255,673,3060,844
44.62848,-1.24306,2023,6,"France","HUMAN_OBSERVATION",44.65,-1.34999999999999,8.8,1179,817,4546,2472,201,198,2115,1794,1895,1544,716,670,4745,1088,4745,1088,576,494
48.35343,-4.56195,2023,6,"France","HUMAN_OBSERVATION",NA,NA,NA,701,647,4551,2832,575,570,1636,1556,1416,1320,238,226,4750,1368,4750,1368,97,60
43.42472,3.7,2023,6,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,9.25,3635,890,2123,2046,2802,540,4571,1802,4351,1555,3162,980,2280,709,2280,709,3032,838
48.28273,-4.35804,2023,6,"France","HUMAN_OBSERVATION",48.35,-4.34999999999999,7.51,715,634,4560,2817,578,567,1651,1548,1431,1311,253,225,4758,1352,4758,1352,112,50
44.69716,-1.22856,2023,6,"France","HUMAN_OBSERVATION",44.75,-1.24999999999999,6.12,1173,803,4557,2467,215,211,2108,1781,1889,1531,710,662,4756,1079,4756,1079,569,487
48.69673,-1.898,2023,6,"France","HUMAN_OBSERVATION",NA,NA,NA,538,467,4802,2663,839,602,1473,1415,1254,1172,255,247,5000,1188,5000,1188,173,152
44.71395,-1.21064,2023,6,"France","HUMAN_OBSERVATION",NA,NA,NA,1173,806,4557,2463,215,210,2108,1784,1889,1533,710,666,4756,1076,4756,1076,569,492
51.04325,2.36981,2023,6,"France","HUMAN_OBSERVATION",51.05,2.25000000000001,8.42,74,71,5158,2531,1195,945,1041,1038,819,789,495,459,5357,1053,5357,1053,531,516
59.372132,5.214268,2023,6,"Norway","HUMAN_OBSERVATION",59.35,5.15000000000001,4.4,907,900,6051,3040,2088,1867,487,345,379,357,1388,1162,6250,1728,6250,1728,1424,1323
55.107749,-7.514263,2023,7,"Ireland","HUMAN_OBSERVATION",NA,NA,NA,1372,825,5331,3323,1487,1349,1441,1202,1333,1050,818,574,5530,1846,5530,1846,891,752
50.147914,-5.056024,2023,7,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,626,594,4710,2937,781,773,1561,1421,1342,1196,72,69,4909,1456,4909,1456,176,178
51.910173,-10.281604,2023,7,"Ireland","HUMAN_OBSERVATION",51.95,-10.35,6.46,1091,935,4847,3356,1106,1103,1860,1552,1752,1369,538,468,5046,1872,5046,1872,588,579
49.34041,-0.2702,2023,7,"France","HUMAN_OBSERVATION",NA,NA,NA,344,330,4950,2587,986,700,1296,1292,1076,1046,318,302,5148,1103,5148,1103,321,279
50.147914,-5.056024,2023,7,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,626,594,4710,2937,781,773,1561,1421,1342,1196,72,69,4909,1456,4909,1456,176,178
44.62848,-1.24306,2023,7,"France","HUMAN_OBSERVATION",44.65,-1.34999999999999,8.8,1179,817,4546,2472,201,198,2115,1794,1895,1544,716,670,4745,1088,4745,1088,576,494
69.663202,18.761054,2023,7,"Norway","HUMAN_OBSERVATION",69.65,18.85,3.74,2293,2198,7372,3837,3473,3182,1880,1256,1772,1499,2773,2468,7571,2830,7571,2830,2809,2635
52.981195,-6.031707,2023,8,"Ireland","HUMAN_OBSERVATION",52.95,-5.94999999999999,6.49,987,647,4992,3123,1102,1091,1680,1249,1573,1055,434,313,5190,1638,5190,1638,506,491
51.707148,4.000537,2023,8,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,80,71,5310,2477,1347,1069,918,916,694,665,646,591,5508,1018,5508,1018,682,658
51.707148,4.000537,2023,8,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,80,71,5310,2477,1347,1069,918,916,694,665,646,591,5508,1018,5508,1018,682,658
51.628865,3.914446,2023,8,"Netherlands","HUMAN_OBSERVATION",51.65,3.85000000000001,5.04,63,59,5292,2481,1329,1058,933,926,709,675,629,579,5491,1020,5491,1020,664,646
48.576641,-1.98474,2023,8,"France","HUMAN_OBSERVATION",48.65,-2.04999999999999,9.47,538,479,4787,2672,824,595,1473,1426,1254,1182,245,244,4986,1197,4986,1197,158,141
51.713218,3.995632,2023,8,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,73,71,5303,2478,1340,1069,920,915,696,664,639,591,5502,1018,5502,1018,675,658
51.713218,3.995632,2023,8,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,73,71,5303,2478,1340,1069,920,915,696,664,639,591,5502,1018,5502,1018,675,658
51.744217,3.881189,2023,8,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,66,67,5296,2486,1333,1068,923,916,699,665,632,584,5495,1026,5495,1026,668,653
40.922095,24.388364,2023,8,"Greece","HUMAN_OBSERVATION",40.85,24.35,8.65,5486,2000,624,615,4652,2270,6421,2210,6202,2098,5013,2442,1655,1061,1655,1061,4882,2388
51.5,4,2023,8,"Netherlands","HUMAN_OBSERVATION",51.55,3.95000000000001,6.56,73,60,5303,2469,1340,1052,941,933,718,682,640,584,5502,1007,5502,1007,675,647
42.23813,3.2566,2023,8,"Spain","HUMAN_OBSERVATION",42.15,3.25000000000001,9.83,3496,1023,2119,2040,2662,530,4432,1939,4212,1692,3023,1076,2277,781,2277,781,2893,922
60.423669,4.914171,2023,8,"Norway","HUMAN_OBSERVATION",NA,NA,NA,1027,1016,6170,3143,2207,1974,611,389,503,460,1507,1256,6369,1845,6369,1845,1543,1421
55.192983,-7.797421,2023,9,"Ireland","HUMAN_OBSERVATION",55.15,-7.84999999999999,5.84,1389,846,5297,3344,1504,1359,1448,1219,1340,1069,836,588,5495,1867,5495,1867,908,764
56.441555,-5.4694,2023,9,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1354,800,5393,3287,1494,1468,1345,1023,1238,890,825,682,5592,1828,5592,1828,898,865
43.424697,3.70003,2023,9,"France","HUMAN_OBSERVATION",43.35,3.75000000000001,9.25,3636,891,2115,2039,2803,548,4572,1800,4352,1553,3163,985,2272,701,2272,701,3033,843
52.45,4.6,2023,9,"Netherlands","HUMAN_OBSERVATION",52.45,4.55000000000001,3.39,158,156,5371,2501,1407,1159,834,825,610,574,707,648,5569,1059,5569,1059,743,732
51.7,3.85,2023,9,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,63,62,5292,2485,1329,1063,933,921,709,670,629,580,5491,1024,5491,1024,664,649
51.7079,4.00028,2023,9,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,80,71,5310,2477,1347,1069,918,916,694,665,646,591,5508,1018,5508,1018,682,658
58.87968,11.10687,2023,9,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,983,979,6168,2812,2205,1983,0,1,248,252,1505,1361,6367,1608,6367,1608,1540,1498
58.89225,11.09701,2023,9,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,979,979,6164,2813,2201,1983,6,2,244,253,1501,1362,6363,1609,6363,1609,1537,1499
54.669708,-5.727649,2023,10,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",54.75,-5.64999999999999,10.24,1191,700,5204,3199,1305,1283,1472,1118,1364,950,637,498,5403,1724,5403,1724,709,681
51.898787,-10.333803,2023,10,"Ireland","HUMAN_OBSERVATION",51.95,-10.35,5.81,1091,935,4847,3356,1106,1103,1860,1552,1752,1369,538,468,5046,1872,5046,1872,588,579
58.712104,9.247338,2023,10,"Norway","HUMAN_OBSERVATION",58.65,9.25000000000001,6.92,904,901,6081,2842,2117,1902,119,110,191,195,1417,1262,6279,1594,6279,1594,1453,1404
43.51151,4.114492,2022,1,"France","HUMAN_OBSERVATION",43.55,4.05000000000001,6.74,3663,870,2097,2023,2830,572,4599,1772,4379,1526,3190,981,2255,673,2255,673,3060,844
43.428089,4.938995,2022,1,"France","HUMAN_OBSERVATION",43.35,4.95000000000001,8.74,3680,900,2017,1947,2847,646,4616,1778,4396,1535,3207,1043,2175,607,2175,607,3077,911
43.510546,4.114081,2022,1,"France","HUMAN_OBSERVATION",43.55,4.05000000000001,6.79,3663,870,2097,2023,2830,572,4599,1772,4379,1526,3190,981,2255,673,2255,673,3060,844
43.510546,4.114081,2022,1,"France","HUMAN_OBSERVATION",43.55,4.05000000000001,6.79,3663,870,2097,2023,2830,572,4599,1772,4379,1526,3190,981,2255,673,2255,673,3060,844
48.32548,-4.39306,2022,1,"France","HUMAN_OBSERVATION",NA,NA,NA,715,638,4560,2819,578,565,1651,1552,1431,1315,253,228,4758,1355,4758,1355,112,54
69.636786,18.002346,2022,1,"Norway","HUMAN_OBSERVATION",NA,NA,NA,2257,2181,7329,3841,3430,3163,1844,1244,1736,1485,2737,2445,7528,2823,7528,2823,2772,2613
