"","Longitude","Latitude","year","month","country"
"222",3.66265,43.4465,2013,4,"France"
"223",3.7,43.42472,2013,4,"France"
"224",1.18253,46.12689,2013,4,"France"
"225",-5.441912,36.088523,2013,12,"Spain"
"226",-5.441864,36.088415,2013,12,"Spain"
"227",-0.807857,37.658699,2012,2,"Spain"
"228",0.562998,51.39615,2012,3,"United Kingdom of Great Britain and Northern Ireland"
"229",2.242603,41.434675,2012,3,"Spain"
"230",2.242603,41.434675,2012,3,"Spain"
"231",-5.435346,43.481366,2012,4,"Spain"
"232",-3.955932,36.726609,2011,4,"Spain"
"233",0.852357,40.938817,2011,4,"Spain"
"234",-1.611191,37.387899,2011,7,"Spain"
"235",-8.813571,42.515308,2011,7,"Spain"
"236",-8.813571,42.515308,2011,7,"Spain"
"237",-8.813571,42.515308,2011,7,"Spain"
"238",-0.44214,38.362777,2011,8,"Spain"
"239",-0.44214,38.362777,2011,8,"Spain"
"240",0.515696,40.526568,2011,11,"Spain"
"241",-15.723984,27.883697,2011,12,"Spain"
"242",2.169919,41.387917,2010,7,"Spain"
"243",2.169919,41.387917,2010,7,"Spain"
"244",2.169919,41.387917,2010,7,"Spain"
"245",-8.018066,37.02546,2008,7,"Portugal"
"246",-8.018066,37.02546,2008,7,"Portugal"
"247",24.333611,40.835278,1998,8,"Greece"
"248",4.11,51.99,1995,3,"Netherlands"
"249",5.324,53.417,1984,1,"Netherlands"
"250",5.324,53.417,1984,1,"Netherlands"
"251",5.324,53.417,1984,1,"Netherlands"
"252",4.4,52.22,1982,11,"Netherlands"
"253",4.438,52.259,1981,2,"Netherlands"
"254",4.38,52.2,1981,11,"Netherlands"
"255",3.55,51.44,1970,12,"Netherlands"
"256",4.58,52.49,1964,10,"Netherlands"
"257",3.55,51.44,1961,4,"Netherlands"
"258",-4.913972,51.771858,1960,6,"United Kingdom of Great Britain and Northern Ireland"
"259",4.57,52.48,1958,1,"Netherlands"
"260",4.57,52.48,1958,1,"Netherlands"
"261",4.438,52.259,1955,10,"Netherlands"
"262",4.27,52.11,1955,10,"Netherlands"
"263",-4.199608,51.058968,NA,NA,"United Kingdom of Great Britain and Northern Ireland"
"264",-4.19084,51.054636,NA,NA,"United Kingdom of Great Britain and Northern Ireland"
"265",-7.620967,37.118288,NA,NA,"Portugal"
