"latitude","longitude","year","month","country","basisOfRecord","latitude_moved","longitude_moved","dist_moved","Galway_seaway","Galway_geodesic","Plymouth_seaway","Plymouth_geodesic","Roscoff_seaway","Roscoff_geodesic"
52.91844,1.351718,2021,8,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1333,744,659,475,694,599
52.9572,1.103754,2021,8,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1346,727,672,464,708,591
52.94969,1.206553,2021,8,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1340,734,665,469,701,595
48.57123,-1.98367,2021,9,"France","HUMAN_OBSERVATION",48.65,-2.04999999999999,10.04,876,744,245,244,158,141
48.68,-2.071,2021,9,"France","HUMAN_OBSERVATION",NA,NA,NA,876,741,245,241,158,140
48.57114,-1.98165,2021,9,"France","HUMAN_OBSERVATION",48.65,-2.04999999999999,10.12,876,744,245,244,158,141
52.94701,1.219004,2021,10,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1340,735,665,470,701,595
52.94878,1.20624,2021,10,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1340,734,665,469,701,595
48.57114,-1.98165,2021,10,"France","HUMAN_OBSERVATION",48.65,-2.04999999999999,10.12,876,744,245,244,158,141
49.48892,0.11775,2021,10,"France","HUMAN_OBSERVATION",NA,NA,NA,1002,804,342,322,346,310
52.94872,1.205491,2021,10,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1340,734,665,469,701,595
52.94878,1.20624,2021,10,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1340,734,665,469,701,595
52.94792,1.207159,2021,10,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1340,734,665,469,701,595
48.67159,-1.98617,2021,11,"France","HUMAN_OBSERVATION",48.65,-2.04999999999999,5.27,876,744,245,244,158,141
52.94838,1.206679,2021,11,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1340,734,665,469,701,595
52.94838,1.206679,2021,11,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1340,734,665,469,701,595
49.14847,-2.0097,2020,6,"Jersey","HUMAN_OBSERVATION",NA,NA,NA,856,707,203,206,154,151
52.92053,1.3522,2020,6,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1333,744,659,475,694,599
52.91903,1.35486,2020,6,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1333,744,659,475,694,599
52.96522,1.054695,2020,6,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",53.05,1.05000000000001,9.44,1357,722,683,467,719,597
50.57026,-2.441696,2020,6,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",50.55,-2.34999999999999,6.87,825,591,151,130,232,235
52.94928,1.211652,2020,7,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1340,734,665,469,701,595
52.95721,1.102288,2020,7,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1346,727,672,464,708,591
52.95084,1.13667,2020,7,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1346,729,672,465,708,592
48.68324,-2.0437,2020,7,"France","HUMAN_OBSERVATION",NA,NA,NA,876,742,245,242,158,142
48.65528,-2.13955,2020,7,"France","HUMAN_OBSERVATION",NA,NA,NA,869,739,240,240,151,135
52.95794,1.102995,2020,7,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1346,727,672,464,708,591
48.62806,-2.02806,2020,7,"France","HUMAN_OBSERVATION",NA,NA,NA,876,747,245,247,158,143
52.9573,1.102078,2020,7,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1346,727,672,464,708,591
50.60776,-1.950306,2020,7,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",50.55,-1.94999999999999,6.43,853,615,179,158,248,250
52.95746,1.102663,2020,7,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1346,727,672,464,708,591
52.91842,1.351799,2020,7,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1333,744,659,475,694,599
47.656694,-3.209949,2020,8,"France","HUMAN_OBSERVATION",NA,NA,NA,878,776,381,309,240,131
52.96577,1.055732,2020,8,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",53.05,1.05000000000001,9.38,1357,722,683,467,719,597
52.96572,1.055564,2020,8,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",53.05,1.05000000000001,9.39,1357,722,683,467,719,597
49.25847,-2.224269,2020,8,"Jersey","HUMAN_OBSERVATION",NA,NA,NA,838,687,185,186,143,141
52.94897,1.206008,2020,8,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1340,734,665,469,701,595
