"latitude","longitude","year","month","country","basisOfRecord","latitude_moved","longitude_moved","dist_moved","Gdynia_seaway","Gdynia_geodesic","TZS_seaway","TZS_geodesic"
56.18579,15.56046,2025,4,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,278,275,644,609
56.17,15.58679,2025,4,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,278,273,644,610
56.17,15.58679,2025,4,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,278,273,644,610
57.65886,11.8443,2025,4,"Sweden","HUMAN_OBSERVATION",57.65,11.75,5.7,673,558,1103,708
49.613563,6.13435,2025,5,"Luxembourg","HUMAN_OBSERVATION",NA,NA,NA,NA,NA,NA,NA
50.856234,3.307234,2025,5,"Belgium","HUMAN_OBSERVATION",51.25,2.85000000000001,54.27,1595,1120,2025,1593
47.286333,39.149516,2025,5,"Russian Federation","HUMAN_OBSERVATION",NA,NA,NA,Inf,1640,Inf,1740
52.587803,13.273562,2025,5,"Germany","HUMAN_OBSERVATION",NA,NA,NA,NA,NA,NA,NA
51.8,5.65,2025,5,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,NA,NA,NA,NA
51.8,5.65,2025,5,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,NA,NA,NA,NA
54.695529,11.973966,2025,5,"Denmark","HUMAN_OBSERVATION",54.65,12.05,7.05,460,427,921,888
51.20865,3.24041,2025,5,"Belgium","HUMAN_OBSERVATION",51.35,3.15000000000001,16.95,1576,1096,2006,1570
51.20868,3.2404,2025,5,"Belgium","HUMAN_OBSERVATION",51.35,3.15000000000001,16.94,1576,1096,2006,1570
50.83441,3.27191,2025,5,"Belgium","HUMAN_OBSERVATION",51.25,2.85000000000001,54.88,1595,1120,2025,1593
50.86024,3.62616,2025,5,"Belgium","HUMAN_OBSERVATION",51.35,3.85000000000001,56.72,1558,1052,1987,1536
51.15179,2.80067,2025,5,"Belgium","HUMAN_OBSERVATION",51.25,2.85000000000001,11.46,1595,1120,2025,1593
