"latitude","longitude","year","month","country","basisOfRecord","latitude_moved","longitude_moved","dist_moved","Getxo_seaway","Getxo_geodesic"
51.942768,1.29097,2024,1,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1234,1009
51.24757,4.34306,2024,1,"Belgium","HUMAN_OBSERVATION",51.35,4.25000000000001,13.11,1371,1045
51.20989,2.85882,2024,1,"Belgium","HUMAN_OBSERVATION",NA,NA,NA,1245,981
51.22341,2.94584,2024,1,"Belgium","HUMAN_OBSERVATION",51.25,2.85000000000001,7.31,1245,984
51.35941,4.24747,2024,1,"Belgium","HUMAN_OBSERVATION",NA,NA,NA,1371,1046
51.45131,3.924089,2024,2,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,1351,1042
55.525198,9.742339,2024,2,"Denmark","HUMAN_OBSERVATION",NA,NA,NA,2354,1635
51.4,3.7,2024,2,"Netherlands","HUMAN_OBSERVATION",51.45,3.55000000000001,11.81,1301,1028
51.4,3.7,2024,2,"Netherlands","HUMAN_OBSERVATION",51.45,3.55000000000001,11.81,1301,1028
53.4,6.05,2024,2,"Netherlands","HUMAN_OBSERVATION",53.45,6.05000000000001,5.57,1552,1307
51.5,4.3,2024,2,"Netherlands","HUMAN_OBSERVATION",51.45,4.25000000000001,6.56,1365,1054
51.4,3.7,2024,2,"Netherlands","HUMAN_OBSERVATION",51.45,3.55000000000001,11.81,1301,1028
51.3,3.85,2024,2,"Netherlands","HUMAN_OBSERVATION",51.35,3.85000000000001,5.57,1363,1030
51.4,3.7,2024,2,"Netherlands","HUMAN_OBSERVATION",51.45,3.55000000000001,11.81,1301,1028
51.4,3.7,2024,2,"Netherlands","HUMAN_OBSERVATION",51.45,3.55000000000001,11.81,1301,1028
51.4,3.7,2024,2,"Netherlands","HUMAN_OBSERVATION",51.45,3.55000000000001,11.81,1301,1028
51.4,3.7,2024,2,"Netherlands","HUMAN_OBSERVATION",51.45,3.55000000000001,11.81,1301,1028
51.4,3.7,2024,2,"Netherlands","HUMAN_OBSERVATION",51.45,3.55000000000001,11.81,1301,1028
51.4,3.7,2024,2,"Netherlands","HUMAN_OBSERVATION",51.45,3.55000000000001,11.81,1301,1028
51.4,3.7,2024,2,"Netherlands","HUMAN_OBSERVATION",51.45,3.55000000000001,11.81,1301,1028
51.4,3.7,2024,2,"Netherlands","HUMAN_OBSERVATION",51.45,3.55000000000001,11.81,1301,1028
51.6,4,2024,2,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,1347,1059
51.65,3.75,2024,2,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,1322,1054
54.398566,12.444222,2024,3,"Germany","HUMAN_OBSERVATION",NA,NA,NA,2493,1666
54.406902,12.454401,2024,3,"Germany","HUMAN_OBSERVATION",NA,NA,NA,2489,1667
51.943206,1.291439,2024,3,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1234,1009
51.943331,1.291469,2024,3,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1234,1009
51.628697,3.908662,2024,3,"Netherlands","HUMAN_OBSERVATION",51.65,3.85000000000001,4.7,1329,1058
51.5,4.15,2024,3,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,1358,1055
51.45,3.9,2024,3,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,1351,1041
51.5,3.95,2024,3,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,1351,1047
51.5,3.95,2024,3,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,1351,1047
54.819233,9.678516,2024,3,"Germany","HUMAN_OBSERVATION",NA,NA,NA,2427,1573
51.4,3.7,2024,3,"Netherlands","HUMAN_OBSERVATION",51.45,3.55000000000001,11.81,1301,1028
51.6,4.05,2024,3,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,1347,1061
51.6,4.05,2024,3,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,1347,1061
51.5,4.1,2024,3,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,1358,1053
51.5,4,2024,3,"Netherlands","HUMAN_OBSERVATION",51.55,3.95000000000001,6.56,1340,1052
53.45,6.15,2024,3,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,1558,1311
53.45,6.15,2024,3,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,1558,1311
51.7,3.85,2024,3,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,1329,1063
51.943206,1.291439,2024,3,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1234,1009
51.943331,1.291469,2024,3,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1234,1009
51.32527,3.15756,2024,3,"Belgium","HUMAN_OBSERVATION",NA,NA,NA,1269,1002
51.923321,1.269138,2024,4,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1234,1007
51.930842,1.279542,2024,4,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1234,1008
51.941236,1.290661,2024,4,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1234,1009
55.031356,8.402911,2024,4,"Germany","HUMAN_OBSERVATION",NA,NA,NA,1785,1540
51.923321,1.269138,2024,4,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1234,1007
51.4,3.6,2024,4,"Netherlands","HUMAN_OBSERVATION",51.45,3.55000000000001,6.56,1301,1028
51.55,3.65,2024,4,"Netherlands","HUMAN_OBSERVATION",51.65,3.65000000000001,11.13,1315,1051
51.55,3.7,2024,4,"Netherlands","HUMAN_OBSERVATION",51.65,3.65000000000001,11.66,1315,1051
51.5,4.15,2024,4,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,1358,1055
51.5,3.95,2024,4,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,1351,1047
51.5,3.95,2024,4,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,1351,1047
51.930842,1.279542,2024,4,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1234,1008
51.941236,1.290661,2024,4,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1234,1009
51.25217,2.9602,2024,4,"Belgium","HUMAN_OBSERVATION",51.25,2.85000000000001,7.68,1245,984
51.23776,2.91877,2024,4,"Belgium","HUMAN_OBSERVATION",51.25,2.85000000000001,4.98,1245,984
51.23773,2.91876,2024,4,"Belgium","HUMAN_OBSERVATION",51.25,2.85000000000001,4.98,1245,984
51.23773,2.91876,2024,4,"Belgium","HUMAN_OBSERVATION",51.25,2.85000000000001,4.98,1245,984
58.34684,11.45559,2024,4,"Sweden","HUMAN_OBSERVATION",58.35,11.55,5.53,2189,1950
58.01897,11.80494,2024,4,"Sweden","HUMAN_OBSERVATION",58.05,11.75,4.73,2188,1931
51.920626,1.266528,2024,5,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1234,1007
55.022085,8.440455,2024,5,"Germany","HUMAN_OBSERVATION",NA,NA,NA,1785,1540
51.929987,1.275247,2024,5,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1234,1008
51.863665,1.290205,2024,5,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",51.85,1.35000000000001,4.38,1222,1001
53.53115,8.574629,2024,5,"Germany","HUMAN_OBSERVATION",NA,NA,NA,1737,1417
51.805374,1.01041,2024,5,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",51.75,1.05000000000001,6.74,1217,984
51.4,3.7,2024,5,"Netherlands","HUMAN_OBSERVATION",51.45,3.55000000000001,11.81,1301,1028
53.45,6.15,2024,5,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,1558,1311
51.4,3.7,2024,5,"Netherlands","HUMAN_OBSERVATION",51.45,3.55000000000001,11.81,1301,1028
54.767059,9.966641,2024,5,"Germany","HUMAN_OBSERVATION",54.75,10.05,5.68,2437,1583
54.766815,9.966648,2024,5,"Germany","HUMAN_OBSERVATION",54.75,10.05,5.67,2437,1583
53.4,5.8,2024,5,"Netherlands","HUMAN_OBSERVATION",53.35,5.75000000000001,6.48,1528,1287
51.7,3.85,2024,5,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,1329,1063
54.113217,11.620246,2024,5,"Germany","HUMAN_OBSERVATION",NA,NA,NA,2489,1605
53.4,6.15,2024,5,"Netherlands","HUMAN_OBSERVATION",53.45,6.15000000000001,5.57,1558,1311
51.55,4,2024,5,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,1347,1054
51.6,3.95,2024,5,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,1340,1057
51.45,4.2,2024,5,"Netherlands","HUMAN_OBSERVATION",NA,NA,NA,1365,1052
54.113217,11.620246,2024,5,"Germany","HUMAN_OBSERVATION",NA,NA,NA,2489,1605
51.863665,1.290205,2024,5,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",51.85,1.35000000000001,4.38,1222,1001
51.920626,1.266528,2024,5,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1234,1007
51.929987,1.275247,2024,5,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,NA,1234,1008
51.805374,1.01041,2024,5,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",51.75,1.05000000000001,6.74,1217,984
51.23838,2.92701,2024,5,"Belgium","HUMAN_OBSERVATION",51.25,2.85000000000001,5.52,1245,984
51.2399,2.92627,2024,5,"Belgium","HUMAN_OBSERVATION",51.25,2.85000000000001,5.43,1245,984
51.35899,3.35023,2024,5,"Belgium","HUMAN_OBSERVATION",51.45,3.35000000000001,10.13,1287,1021
51.14479,2.7418,2024,5,"Belgium","HUMAN_OBSERVATION",51.15,2.65000000000001,6.44,1227,968
54.635014,8.635511,2024,5,"Germany","HUMAN_OBSERVATION",NA,NA,NA,1771,1514
58.40705,11.61585,2024,5,"Sweden","HUMAN_OBSERVATION",58.45,11.55,6.13,2200,1959
57.32439,12.15543,2024,5,"Sweden","HUMAN_OBSERVATION",57.35,12.05,6.95,2203,1883
58.38294,11.31584,2024,5,"Sweden","HUMAN_OBSERVATION",58.35,11.25,5.31,2171,1940
57.43338,11.92035,2024,5,"Sweden","HUMAN_OBSERVATION",57.45,11.85,4.6,2186,1883
57.56274,11.92676,2024,5,"Sweden","HUMAN_OBSERVATION",57.55,11.85,4.8,2182,1892
58.11049,11.66875,2024,5,"Sweden","HUMAN_OBSERVATION",58.05,11.65,6.82,2182,1928
57.60508,11.88099,2024,5,"Sweden","HUMAN_OBSERVATION",57.55,11.85,6.4,2182,1892
57.44744,12.05253,2024,5,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,2198,1891
58.3784,11.39516,2024,5,"Sweden","HUMAN_OBSERVATION",58.25,11.35,14.54,2173,1934
58.07026,11.53532,2024,5,"Sweden","HUMAN_OBSERVATION",NA,NA,NA,2176,1925
